timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,0.2937,,,,-1.1419,,,
0.0059,0.2938,,,,-1.142,,,
0.0163,0.2939,,,,-1.1422,,,
0.0164,0.2941,,,,-1.1424,,,
0.0167,0.2942,,,,-1.1426,,,
0.0239,0.2944,,,,-1.1428,,,
0.026,0.2945,,,,-1.1429,,,
0.0348,0.2947,,,,-1.1431,,,
0.4019,0.2948,,,,-1.1433,,,
0.4019,0.295,,,,-1.1435,,,
0.4019,0.2951,,,,-1.1437,,,
0.4019,0.2952,,,,-1.1438,,,
0.402,0.2954,,,,-1.144,,,
0.402,0.2955,,,,-1.1442,,,
0.402,0.2957,,,,-1.1444,,,
0.402,0.2958,,,,-1.1446,,,
0.402,0.296,,,,-1.1448,,,
0.402,0.2961,,,,-1.1449,,,
0.402,0.2963,,,,-1.1451,,,
0.402,0.2964,,,,-1.1453,,,
0.4021,0.2966,,,,-1.1455,,,
0.4021,0.2967,,,,-1.1457,,,
0.4021,0.2968,,,,-1.1458,,,
0.4021,0.297,,,,-1.146,,,
0.4021,0.2971,,,,-1.1462,,,
0.4021,0.2973,,,,-1.1464,,,
0.4021,0.2974,,,,-1.1466,,,
0.4021,0.2976,,,,-1.1467,,,
0.4021,0.2977,,,,-1.1469,,,
0.4022,0.2979,,,,-1.1471,,,
0.4022,0.298,,,,-1.1473,,,
0.4022,0.2981,,,,-1.1475,,,
0.4022,0.2983,,,,-1.1477,,,
0.4022,0.2984,,,,-1.1478,,,
0.4022,0.2986,,,,-1.148,,,
0.4022,0.2987,,,,-1.1482,,,
0.4022,0.2989,,,,-1.1484,,,
0.4022,0.299,,,,-1.1486,,,
0.4023,0.2992,,,,-1.1487,,,
0.4023,0.2993,,,,-1.1489,,,
0.4023,0.2995,,,,-1.1491,,,
0.4023,0.2996,,,,-1.1493,,,
0.4023,0.2997,,,,-1.1495,,,
0.4023,0.2999,,,,-1.1496,,,
0.4023,0.3,,,,-1.1498,,,
0.4023,0.3002,,,,-1.15,,,
0.4023,0.3003,,,,-1.1502,,,
0.4024,0.3005,,,,-1.1504,,,
0.4024,0.3006,,,,-1.1506,,,
0.4024,0.3008,,,,-1.1507,,,
0.4024,0.3009,,,,-1.1509,,,
0.4024,0.301,,,,-1.1511,,,
0.4024,0.3012,,,,-1.1513,,,
0.4024,0.3013,,,,-1.1515,,,
0.4024,0.3015,,,,-1.1516,,,
0.4024,0.3016,,,,-1.1518,,,
0.4025,0.3018,,,,-1.152,,,
0.4025,0.3019,,,,-1.1522,,,
0.4025,0.3021,,,,-1.1524,,,
0.4025,0.3022,,,,-1.1525,,,
0.4025,0.3024,,,,-1.1527,,,
0.4026,0.3025,,,,-1.1529,,,
0.4026,0.3026,,,,-1.1531,,,
0.4026,0.3028,,,,-1.1533,,,
0.4026,0.3029,,,,-1.1535,,,
0.4026,0.3031,,,,-1.1536,,,
0.4026,0.3032,,,,-1.1538,,,
0.4026,0.3034,,,,-1.154,,,
0.4027,0.3035,,,,-1.1542,,,
0.4027,0.3037,,,,-1.1544,,,
0.4027,0.3038,,,,-1.1545,,,
0.4027,0.3039,,,,-1.1547,,,
0.4027,0.3041,,,,-1.1549,,,
0.4027,0.3042,,,,-1.1551,,,
0.4027,0.3044,,,,-1.1553,,,
0.4027,0.3045,,,,-1.1554,,,
0.4028,0.3047,,,,-1.1556,,,
0.4028,0.3048,,,,-1.1558,,,
0.4028,0.305,,,,-1.156,,,
0.4028,0.3051,,,,-1.1562,,,
0.4028,0.3053,,,,-1.1564,,,
0.4028,0.3054,,,,-1.1565,,,
0.4028,0.3055,,,,-1.1567,,,
0.4029,0.3057,,,,-1.1569,,,
0.4029,0.3058,,,,-1.1571,,,
0.4029,0.306,,,,-1.1573,,,
0.4029,0.3061,,,,-1.1574,,,
0.4029,0.3063,,,,-1.1576,,,
0.4029,0.3064,,,,-1.1578,,,
0.4029,0.3066,,,,-1.158,,,
0.4029,0.3067,,,,-1.1582,,,
0.403,0.3068,,,,-1.1583,,,
0.403,0.307,,,,-1.1585,,,
0.403,0.3071,,,,-1.1587,,,
0.403,0.3073,,,,-1.1589,,,
0.403,0.3074,,,,-1.1591,,,
0.403,0.3076,,,,-1.1593,,,
0.4031,0.3077,,,,-1.1594,,,
0.4031,0.3079,,,,-1.1596,,,
0.4031,0.308,,,,-1.1598,,,
0.4031,0.3081,,,,-1.16,,,
0.4031,0.3083,,,,-1.1602,,,
0.4031,0.3084,,,,-1.1603,,,
0.4031,0.3086,,,,-1.1605,,,
0.4031,0.3087,,,,-1.1607,,,
0.4032,0.3089,,,,-1.1609,,,
0.4032,0.309,,,,-1.1611,,,
0.4032,0.3092,,,,-1.1612,,,
0.4032,0.3093,,,,-1.1614,,,
0.4032,0.3095,,,,-1.1616,,,
0.4033,0.3096,,,,-1.1618,,,
0.4033,0.3097,,,,-1.162,,,
0.4033,0.3099,,,,-1.1622,,,
0.4033,0.31,,,,-1.1623,,,
0.4033,0.3102,,,,-1.1625,,,
0.4033,0.3103,,,,-1.1627,,,
0.4034,0.3105,,,,-1.1629,,,
0.4034,0.3106,,,,-1.1631,,,
0.4034,0.3108,,,,-1.1632,,,
0.4034,0.3109,,,,-1.1634,,,
0.4034,0.311,,,,-1.1636,,,
0.4034,0.3112,,,,-1.1638,,,
0.4035,0.3113,,,,-1.164,,,
0.4035,0.3115,,,,-1.1641,,,
0.4035,0.3116,,,,-1.1643,,,
0.4035,0.3118,,,,-1.1645,,,
0.4035,0.3119,,,,-1.1647,,,
0.4035,0.3121,,,,-1.1649,,,
0.4036,0.3122,,,,-1.1651,,,
0.4036,0.3124,,,,-1.1652,,,
0.4036,0.3125,,,,-1.1654,,,
0.4036,0.3126,,,,-1.1656,,,
0.4036,0.3128,,,,-1.1658,,,
0.4036,0.3129,,,,-1.166,,,
0.4037,0.3131,,,,-1.1661,,,
0.4037,0.3132,,,,-1.1663,,,
0.4037,0.3134,,,,-1.1665,,,
0.4037,0.3135,,,,-1.1667,,,
0.4037,0.3137,,,,-1.1669,,,
0.4038,0.3138,,,,-1.167,,,
0.4038,0.3139,,,,-1.1672,,,
0.4038,0.3141,,,,-1.1674,,,
0.4038,0.3142,,,,-1.1676,,,
