aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.499625,0.7201,1.48165,0.5402750000000001,-2.64965,-0.458875,-2.631375,-0.27605
0.005,1.499625,0.7201000000000001,1.48165,0.5402750000000001,-2.64965,-0.45887500000000003,-2.631375,-0.27605
0.01,1.499625,0.7202,1.48165,0.5402750000000001,-2.64965,-0.458975,-2.631375,-0.27605
0.015,1.49965,0.7202625,1.48165,0.5402750000000001,-2.64965,-0.45902187499999997,-2.631375,-0.27605
0.02,1.49965,0.7203,1.48165,0.5402750000000001,-2.64965,-0.45904999999999996,-2.631375,-0.27605
0.025,1.49965,0.72035,1.48165,0.5402750000000001,-2.649675,-0.459125,-2.631375,-0.27605
0.03,1.49965,0.72035,1.48165,0.5402750000000001,-2.649675,-0.459125,-2.631375,-0.27605
0.035,1.49965,0.720425,1.48165,0.5402750000000001,-2.649675,-0.459175,-2.631375,-0.27605
0.04,1.49965,0.72045,1.48165,0.5402750000000001,-2.649675,-0.4592,-2.631375,-0.27605
0.045,1.49965,0.720478125,1.48165,0.5402750000000001,-2.649675,-0.459228125,-2.631375,-0.27605
0.05,1.4996749999999999,0.7205250000000001,1.48165,0.5402750000000001,-2.649675,-0.459275,-2.631375,-0.27605
0.055,1.4996749999999999,0.72055,1.48165,0.5402750000000001,-2.649675,-0.4593,-2.631375,-0.27605
0.06,1.4996749999999999,0.7206,1.48165,0.5402750000000001,-2.649675,-0.45935,-2.631375,-0.27605
0.065,1.4996749999999999,0.7206,1.48165,0.5402750000000001,-2.6497,-0.45935000000000004,-2.631375,-0.27605
0.07,1.4996749999999999,0.72065,1.48165,0.5402750000000001,-2.6497,-0.4594,-2.631375,-0.27605
0.075,1.4996749999999999,0.7207062500000001,1.48165,0.5402750000000001,-2.6497,-0.45945625,-2.631375,-0.27605
0.08,1.4996749999999999,0.7207250000000001,1.48165,0.5402750000000001,-2.6497,-0.45947499999999997,-2.631375,-0.27605
0.085,1.4997,0.7208,1.48165,0.5402750000000001,-2.6497,-0.45952499999999996,-2.631375,-0.27605
