aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.499425,0.739875,1.49645,0.5396000000000001,-2.64965,-0.2688,-2.6558,-0.27715
0.005,1.499425,0.739875,1.49645,0.5396000000000001,-2.649675,-0.268625,-2.6558,-0.27715
0.01,1.499425,0.739875,1.496475,0.5396000000000001,-2.649675,-0.2684,-2.6558,-0.27715
0.015,1.49945,0.7399,1.496475,0.5395750000000001,-2.649675,-0.26839999999999997,-2.6558,-0.27715
0.02,1.49945,0.739875,1.496525,0.5396000000000001,-2.649675,-0.2683000000000001,-2.6558,-0.27715
0.025,1.49945,0.739875,1.496525,0.539575,-2.649675,-0.2682,-2.6558,-0.277125
0.03,1.49945,0.739875,1.4965285714285714,0.539625,-2.649675,-0.2680194444444445,-2.6558,-0.27715
0.035,1.499475,0.739875,1.49655,0.5396000000000001,-2.649675,-0.267775,-2.6558,-0.277125
0.04,1.499475,0.7398541666666667,1.49655,0.5396000000000001,-2.649675,-0.2677375000000001,-2.6558,-0.27715
0.045,1.499475,0.739875,1.49655,0.5396000000000001,-2.6497,-0.267575,-2.6558,-0.27722500000000005
0.05,1.499475,0.7398499999999999,1.4966,0.5396000000000001,-2.6497,-0.267425,-2.6558,-0.277375
0.055,1.4995,0.7398499999999999,1.4966,0.5396000000000001,-2.6497,-0.26715,-2.6558,-0.277375
0.06,1.4995,0.739825,1.4966249999999999,0.539575,-2.6497,-0.26680000000000004,-2.6558,-0.277375
0.065,1.4995,0.739825,1.4966249999999999,0.539575,-2.6497,-0.2666,-2.6558,-0.27735
0.07,1.4995,0.7398499999999999,1.496625,0.539575,-2.6497,-0.26635,-2.6558,-0.27732499999999993
0.075,1.4995,0.7398499999999999,1.49665,0.539575,-2.6497,-0.2661,-2.655825,-0.2773
0.08,1.499525,0.7398499999999999,1.496675,0.5396000000000001,-2.649725,-0.26585000000000136,-2.655825,-0.277275
0.085,1.499525,0.739875,1.4967,0.5396000000000001,-2.649725,-0.26565,-2.655825,-0.277275
0.09,1.499525,0.739875,1.4967,0.5396000000000001,-2.649725,-0.26535,-2.655829166666667,-0.27725
0.095,1.499525,0.739875,1.4967019230769232,0.5396000000000001,-2.649725,-0.2651249999999999,-2.65585,-0.277225
