timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.1539,1.4716,,,,-2.6316,,,
0.1559,1.4716,,,,-2.6316,,,
0.1572,1.4716,,,,-2.6316,,,
0.1577,1.4716,,,,-2.6316,,,
0.1586,1.4716,,,,-2.6316,,,
0.1605,1.4716,,,,-2.6317,,,
0.1608,1.4716,,,,-2.6317,,,
0.1619,1.4716,,,,-2.6317,,,
0.1624,1.4716,,,,-2.6317,,,
0.1634,1.4716,,,,-2.6317,,,
0.165,1.4716,,,,-2.6317,,,
0.1661,1.4716,,,,-2.6317,,,
0.1668,1.4716,,,,-2.6317,,,
0.1682,1.4716,,,,-2.6317,,,
0.1697,1.4716,,,,-2.6317,,,
0.1705,1.4717,,,,-2.6317,,,
0.1715,1.4717,,,,-2.6317,,,
0.1727,1.4717,,,,-2.6317,,,
0.1739,1.4717,,,,-2.6317,,,
0.1748,1.4717,,,,-2.6317,,,
0.1755,1.4717,,,,-2.6317,,,
0.1765,1.4717,,,,-2.6317,,,
0.1788,1.4717,,,,-2.6317,,,
0.1793,1.4717,,,,-2.6317,,,
0.1804,1.4717,,,,-2.6317,,,
0.1809,1.4717,,,,-2.6317,,,
0.1818,1.4717,,,,-2.6317,,,
0.1839,1.4717,,,,-2.6317,,,
0.1846,1.4717,,,,-2.6317,,,
0.1856,1.4717,,,,-2.6317,,,
0.1876,1.4717,,,,-2.6317,,,
0.1887,1.4717,,,,-2.6317,,,
0.1892,1.4717,,,,-2.6317,,,
0.1898,1.4717,,,,-2.6317,,,
0.1912,1.4717,,,,-2.6317,,,
0.1922,1.4717,,,,-2.6317,,,
0.1927,1.4717,,,,-2.6317,,,
0.1936,1.4717,,,,-2.6317,,,
0.1947,1.4717,,,,-2.6317,,,
0.1955,1.4717,,,,-2.6317,,,
0.1966,1.4717,,,,-2.6317,,,
0.1975,1.4717,,,,-2.6317,,,
0.1995,1.4718,,,,-2.6317,,,
0.2012,1.4718,,,,-2.6317,,,
0.2018,1.4718,,,,-2.6317,,,
0.2028,1.4718,,,,-2.6317,,,
0.2035,1.4718,,,,-2.6318,,,
0.2045,1.4718,,,,-2.6318,,,
0.2055,1.4718,,,,-2.6318,,,
0.2078,1.4718,,,,-2.6318,,,
0.2081,1.4718,,,,-2.6318,,,
0.2086,1.4718,,,,-2.6318,,,
0.21,1.4718,,,,-2.6318,,,
0.2113,1.4718,,,,-2.6318,,,
0.212,1.4718,,,,-2.6318,,,
0.2139,1.4718,,,,-2.6318,,,
0.2146,1.4718,,,,-2.6318,,,
0.2156,1.4718,,,,-2.6318,,,
0.2171,1.4718,,,,-2.6318,,,
0.2179,1.4718,,,,-2.6318,,,
0.2186,1.4718,,,,-2.6318,,,
0.2204,1.4718,,,,-2.6318,,,
0.2208,1.4718,,,,-2.6318,,,
0.2223,1.4718,,,,-2.6318,,,
0.2225,1.4718,,,,-2.6318,,,
0.2239,1.4718,,,,-2.6318,,,
0.2246,1.4718,,,,-2.6318,,,
0.2265,1.4718,,,,-2.6318,,,
0.2268,1.4718,,,,-2.6318,,,
0.2288,1.4719,,,,-2.6318,,,
0.2289,1.4719,,,,-2.6318,,,
0.2295,1.4719,,,,-2.6318,,,
0.2309,1.4719,,,,-2.6318,,,
0.2318,1.4719,,,,-2.6318,,,
