aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.4997399999999999,0.62586,1.50416,0.59864,-2.6497,-1.3989,-2.63576,-1.2992000000000001
0.005,1.49976,0.6301599999999999,1.5041599999999997,0.6036200000000561,-2.6497,-1.3969,-2.6357399999999997,-1.29918
0.01,1.49976,0.6414200000000154,1.50416,0.6135200000000295,-2.6497,-1.3979880000000082,-2.63576,-1.3655599999999812
0.015,1.49976,0.63714,1.5041333333333333,0.6085200000000001,-2.6497,-1.40112,-2.6357399999999997,-1.314999999999943
0.02,1.49976,0.6432400000000191,1.50416,0.6035800000000106,-2.6497,-1.401239999999968,-2.6357399999999997,-1.3276399999999529
0.025,1.49976,0.6355999999999999,1.50412,0.6036000000000703,-2.64972,-1.4013,-2.63576,-1.3276400000000002
0.03,1.49976,0.645,1.50414,0.6101866666666422,-2.64972,-1.40748,-2.63576,-1.324479999999921
0.035,1.49976,0.6458399999999983,1.50412,0.6128825000000008,-2.64972,-1.3979400000000066,-2.6357799999999996,-1.3276400000000002
0.04,1.49976,0.62948,1.504105,0.6135000000000053,-2.64972,-1.40618,-2.63576,-1.35607999999999
0.045,1.49978,0.6379360000000679,1.5041160000000002,0.6184399999998661,-2.64972,-1.4019800000000158,-2.6357399999999997,-1.3086799999997443
0.05,1.49978,0.635859999999963,1.50412,0.6070739999999993,-2.64972,-1.3979800000000004,-2.63576,-1.291616000000102
0.055,1.49978,0.6281400000000026,1.5041342857142856,0.6057314285714362,-2.64972,-1.4051599999999975,-2.6357799999999996,-1.3628514285714004
0.06,1.49978,0.6466249999999412,1.5041,0.6035999999999999,-2.64974,-1.3997650000000716,-2.63576,-1.3276400000000002
0.065,1.49978,0.63594,1.5041200000000001,0.6135000000000562,-2.64974,-1.4053200000000001,-2.6357399999999997,-1.31816
0.07,1.49978,0.6480166666666676,1.50408,0.5788599999999999,-2.64974,-1.401046666666666,-2.6357799999999996,-1.299200000000081
0.075,1.49978,0.64892,1.50408,0.6134999999999999,-2.64974,-1.40408,-2.6357799999999996,-1.2992000000008077
0.08,1.49978,0.6330650000000083,1.5041,0.62834,-2.64974,-1.403594999999986,-2.6357799999999996,-1.3086599999999677
