aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.5,0.899475,1.466425,0.841075,-2.65,-1.2142,-2.555625,-1.1498
0.005,1.5,0.8819500000000107,1.4664,0.859625,-2.65,-1.2215666666666662,-2.5556,-1.1497999999999706
0.01,1.5,0.8845250000000098,1.46645,0.859650000000123,-2.65,-1.2142999999999968,-2.5556,-1.13795
0.015,1.5,0.88115,1.4664,0.853475,-2.65,-1.2136,-2.555625,-1.173525
0.02,1.5,0.8866999999999957,1.4664,0.8411,-2.65,-1.225349999999957,-2.5556,-1.13795
0.025,1.5,0.8906499999999776,1.4664,0.865825,-2.65,-1.2156750000000114,-2.5556,-1.1616499999999998
0.03,1.5,0.89595,1.466375,0.8782,-2.65,-1.2163499999999998,-2.5556,-1.126075
0.035,1.5,0.8926000000000033,1.4664,0.8675892857142878,-2.65,-1.2225499999999982,-2.5556,-1.1345392857142815
0.04,1.5,0.8869999999999958,1.4664000000000001,0.8534500000000196,-2.65,-1.218699999999998,-2.5556,-1.1419000000000243
0.045,1.5,0.86905,1.46645,0.8570107142857111,-2.65,-1.2161,-2.555617857142857,-1.1480892857142764
0.05,1.5,0.9037083333333173,1.466425,0.8472749999998826,-2.65,-1.2149750000000028,-2.5556,-1.126075
0.055,1.5,0.8920999999999939,1.466425,0.8658249999999823,-2.65,-1.2092500000000008,-2.5556,-1.1438562499999616
0.06,1.5,0.8943678571428577,1.4664,0.8658250000000156,-2.65,-1.217914285714285,-2.555625,-1.126075
0.065,1.5,0.8929000000000337,1.4664,0.8704499999999996,-2.65,-1.2110458333333363,-2.55561875,-1.1527812499999976
0.07,1.5,0.882125,1.4664,0.8782,-2.65,-1.21815,-2.5556,-1.161675
0.075,1.5,0.90905,1.4664,0.8237749999998947,-2.65,-1.2148750000000001,-2.5556,-1.1785964285714217
0.08,1.5,0.9041562499999598,1.4664,0.872024999999985,-2.65,-1.2271312499999965,-2.555625,-1.13795
0.085,1.5,0.882375,1.466425,0.872,-2.65,-1.215525,-2.55561875,-1.1764624999999942
0.09,1.5,0.9123624999999971,1.466425,0.8411,-2.65,-1.218624999999991,-2.555625,-1.1023749999999999
0.095,1.5,0.893874999999988,1.4664,0.8410750000000528,-2.65,-1.2212499999999982,-2.55561875,-1.134962500000003
0.1,1.5,0.88445,1.4664,0.853475,-2.65,-1.215325,-2.5556,-1.1260999999999999
0.105,1.5,0.9049499999999541,1.4664,0.8384357142857134,-2.65,-1.2137749999999776,-2.555617857142857,-1.1752107142857169
0.11,1.5,0.8958749999999982,1.4664,0.85345,-2.65,-1.2156187499999982,-2.5556,-1.126075
0.115,1.5,0.8905000000000001,1.4664,0.8455071428571657,-2.65,-1.232525,-2.5556,-1.1616499999999998
0.12,1.5,0.9003999999999749,1.46635,0.8905749999999474,-2.65,-1.2176999999999842,-2.5556,-1.1735249999999495
0.125,1.5,0.8657,1.466425,0.8287249999999999,-2.65,-1.220675,-2.5556083333333333,-1.161675
0.13,1.5,0.8983000000000015,1.466425,0.847275,-2.65,-1.2167500000000062,-2.5556,-1.126075
0.135,1.5,0.8867250000000273,1.46645,0.865825,-2.65,-1.2268249999999807,-2.5556,-1.13795
0.14,1.5,0.878,1.466425,0.859625,-2.65,-1.225825,-2.5556,-1.197225
0.145,1.5,0.898175,1.4664,0.8075107142856144,-2.65,-1.22125,-2.5556,-1.1785964285714317
0.15,1.5,0.8989937500000005,1.4664,0.8781999999999781,-2.65,-1.2141,-2.5556,-1.209075
0.155,1.5,0.878575,1.466425,0.8585958333333298,-2.65,-1.215125,-2.5556208333333332,-1.149775
0.16,1.5,0.8707500000000836,1.4664,0.822525,-2.65,-1.2171499999999984,-2.5556,-1.173525
0.165,1.5,0.8876600000000195,1.4664,0.807068750000003,-2.65,-1.2204300000000081,-2.5556,-1.126075
0.17,1.5,0.8822187500000008,1.4664,0.872025,-2.65,-1.210281250000001,-2.555625,-1.149775
0.17500000000000002,1.5,0.8803000000000112,1.466375,0.8287000000000886,-2.65,-1.2108250000000085,-2.5556200000000002,-1.1592800000001717
0.18,1.5,0.8853549999999992,1.4664,0.8411000000000068,-2.65,-1.2233949999999996,-2.5556,-1.1498249999999868
0.185,1.5,0.896925,1.4664,0.8349,-2.65,-1.2153,-2.5556071428571427,-1.1057607142857122
0.19,1.5,0.8945750000000261,1.4663500000000003,0.85345,-2.65,-1.219399999999999,-2.5556,-1.1616499999999998
0.195,1.5,0.8945,1.466375,0.85965,-2.65,-1.21945,-2.555625,-1.173525
0.2,1.5,0.9022499999999876,1.4664,0.865825,-2.65,-1.2188999999999934,-2.555625,-1.185375
0.20500000000000002,1.5,0.9025250000000027,1.466425,0.8658250000000534,-2.65,-1.218150000000008,-2.5556,-1.173525
0.21,1.5,0.8991499999999986,1.466425,0.865825,-2.65,-1.2106437500000022,-2.555625,-1.137925
0.215,1.5,0.8936499999999999,1.46645,0.85965,-2.65,-1.215575,-2.555625,-1.132006249999999
0.22,1.5,0.8945999999999672,1.46645,0.872000000000047,-2.65,-1.223249999999996,-2.5556,-1.137925000000045
0.225,1.5,0.882,1.46645,0.851391666666666,-2.65,-1.2132749999999999,-2.5556166666666664,-1.173525
0.23,1.5,0.9062749999999571,1.4664,0.85345,-2.65,-1.2156000000000047,-2.555625,-1.1853500000000001
0.23500000000000001,1.5,0.902425,1.466475,0.8349124999999957,-2.65,-1.20895,-2.55561875,-1.1498
0.24,1.5,0.889575,1.466425,0.847275,-2.65,-1.2121,-2.5556,-1.137925
0.245,1.5,0.8950500000000428,1.4664035714285713,0.8349000000000677,-2.65,-1.2252999999999803,-2.5556035714285716,-1.1582607142856791
0.25,1.5,0.904775,1.466425,0.847275,-2.65,-1.2148249999999998,-2.5556,-1.1616499999999998
0.255,1.5,0.905875,1.466425,0.865825,-2.65,-1.2214749999999999,-2.5556,-1.1616499999999998
0.26,1.5,0.8996999999999984,1.46645,0.86585,-2.65,-1.2239999999999858,-2.5556,-1.13795
0.265,1.5,0.9131,1.46644375,0.8178937499999992,-2.65,-1.218175,-2.5556,-1.114225
0.27,1.5,0.8956500000000562,1.4664,0.85965,-2.65,-1.216075000000007,-2.5556,-1.185375
0.275,1.5,0.8745250000000014,1.466475,0.872,-2.65,-1.2178500000000125,-2.5556,-1.149775
0.28,1.5,0.8891699999999996,1.466425,0.85345,-2.65,-1.2236649999999996,-2.5556,-1.13795
0.28500000000000003,1.5,0.9085249999999763,1.4664,0.85965,-2.65,-1.2147999999999823,-2.5556,-1.126075
0.29,1.5,0.8712800000000118,1.46645,0.8657999999999871,-2.65,-1.2215149999999946,-2.555625,-1.1735249999999753
0.295,1.5,0.891,1.46645,0.865825,-2.65,-1.21765,-2.5556,-1.1057607142857517
0.3,1.5,0.899105000000003,1.466425,0.8225250000001751,-2.65,-1.2160200000000245,-2.5556,-1.149800000000168
0.305,1.5,0.8799250000000021,1.466425,0.8720249999999999,-2.65,-1.2135749999999978,-2.555625,-1.1586937499999925
0.31,1.5,0.8953562500000006,1.466425,0.884375,-2.65,-1.221431250000001,-2.5556,-1.126075
0.315,1.5,0.8852000000000068,1.4664321428571427,0.8702285714285715,-2.65,-1.216850000000001,-2.5556071428571427,-1.1667464285714289
0.32,1.5,0.8834700000000038,1.466475,0.859625,-2.65,-1.2179250000000001,-2.555625,-1.18535
0.325,1.5,0.8985,1.4664055555555555,0.8225250000000335,-2.65,-1.220725,-2.555625,-1.1550472222222257
0.33,1.5,0.8912049999999906,1.46645,0.8287250000000532,-2.65,-1.2238700000000007,-2.5556,-1.1616499999999998
0.335,1.5,0.886725,1.46644375,0.85345,-2.65,-1.218925,-2.5556,-1.137975
0.34,1.5,0.9047149999999219,1.466375,0.8349,-2.65,-1.2151600000000287,-2.5556,-1.1735
0.34500000000000003,1.5,0.8923499999999921,1.4664,0.8493250000000003,-2.65,-1.2146000000000023,-2.555625,-1.1695750000000003
0.35000000000000003,1.5,0.8899,1.4664,0.847275,-2.65,-1.22165,-2.555625,-1.1616499999999998
0.355,1.5,0.8825750000000456,1.4664083333333333,0.853475,-2.65,-1.218925,-2.5556083333333333,-1.141874999999997
0.36,1.5,0.8862999999999941,1.46645,0.8349000000000085,-2.65,-1.2130250000000036,-2.5556,-1.13795
0.365,1.5,0.8898,1.466425,0.8565312499999965,-2.65,-1.215575,-2.55561875,-1.1498
0.37,1.5,0.8803449999999745,1.4664,0.8472749999999472,-2.65,-1.223179999999961,-2.5556,-1.185375000000101
0.375,1.5,0.888475,1.4664,0.8534666666666575,-2.65,-1.2156,-2.555625,-1.137925
0.38,1.5,0.9058199999999592,1.4664,0.865825,-2.65,-1.213789999999999,-2.5556,-1.1735
0.385,1.5,0.9073,1.46645,0.8658249999998766,-2.65,-1.213775,-2.5556416666666664,-1.0984416666666506
0.39,1.5,0.8863699999999999,1.46645,0.86585,-2.65,-1.2184650000000001,-2.5556,-1.1260999999999999
0.395,1.5,0.914275,1.4664,0.8188249999999714,-2.65,-1.218525,-2.5556,-1.123705000000034
0.4,1.5,0.8953150000000105,1.4664,0.8410750000000222,-2.65,-1.2243000000000037,-2.5556,-1.173525
0.405,1.5,0.8793,1.4664416666666666,0.861414285714287,-2.65,-1.22325,-2.5556,-1.149775
0.41000000000000003,1.5,0.9052000000000473,1.4664,0.8410999999995741,-2.65,-1.2217,-2.5556,-1.1497999999991844
0.41500000000000004,1.5,0.901075,1.4664055555555555,0.8644277777777896,-2.65,-1.21275,-2.555625,-1.1458555555555936
0.42,1.5,0.8758749999999986,1.46645,0.859625,-2.65,-1.2166374999999983,-2.5556,-1.149775
0.425,1.5,0.9044500000000305,1.4664,0.841075,-2.65,-1.2114999999999798,-2.5556200000000002,-1.1925050000000006
0.43,1.5,0.8869250000000011,1.466425,0.8658500000000042,-2.65,-1.2143,-2.5556,-1.1497999999999835
0.435,1.5,0.891425,1.46645,0.8419500000000031,-2.65,-1.219475,-2.5556,-1.1162041666666414
0.44,1.5,0.8837499999999714,1.4664249999999999,0.8410750000000563,-2.65,-1.2127749999999966,-2.555625,-1.114225000000054
0.445,1.5,0.895425,1.46645,0.8555333333333335,-2.65,-1.210725,-2.5556,-1.145833333333334
0.45,1.5,0.8982312500000076,1.46645,0.847275,-2.65,-1.2142124999999997,-2.5556,-1.19725
0.455,1.5,0.897600000000005,1.466425,0.8452166666668771,-2.65,-1.2155999999999973,-2.5556166666666664,-1.1537416666666571
0.46,1.5,0.9046999999999996,1.4664,0.847275,-2.65,-1.223775,-2.5556,-1.126075
0.465,1.5,0.895725,1.466425,0.8611687499999999,-2.65,-1.21715,-2.5556,-1.1794437500000083
0.47000000000000003,1.5,0.9039899999999721,1.4664,0.8534499999999279,-2.65,-1.2189949999999836,-2.555625,-1.1735249999999309
0.47500000000000003,1.5,0.89985,1.4664,0.8616833333333342,-2.65,-1.2097,-2.5556166666666664,-1.185375
0.48,1.5,0.8882249999999916,1.466425,0.841075,-2.65,-1.2150166666666797,-2.5556,-1.137925
0.485,1.5,0.868800000000001,1.46645,0.8519062499999905,-2.65,-1.2158499999999999,-2.5556,-1.1646374999999523
0.49,1.5,0.908099999999996,1.4664,0.8658250000000001,-2.65,-1.2186249999999998,-2.555625,-1.1616499999999998
0.495,1.5,0.87679583333337,1.466425,0.877170833333336,-2.65,-1.2161208333333358,-2.555625,-1.149775
0.5,1.4993863636363634,0.8973,1.466425,0.85345,-2.6496068181818178,-1.218075,-2.555625,-1.1616499999999998
0.505,1.4969000000000001,0.886175,1.4664,0.865849999999969,-2.64797,-1.197325,-2.555625,-1.1734999999998816
0.51,1.4944062500000004,0.840662500000031,1.4664000000000006,0.8596499999992581,-2.6463187500000003,-1.1884312499999923,-2.5556,-1.149775
0.515,1.4920312499999993,0.8190999999999999,1.466375,0.8158354166666366,-2.6447687499999994,-1.1641,-2.5556,-1.0678125000000576
0.52,1.4894250000000007,0.8034687500000334,1.4663,0.779225,-2.6430300000000004,-1.155193749999976,-2.5556,-1.1023749999999999
0.525,1.4868958333333342,0.7603750000000193,1.46625,0.754475,-2.6413666666666673,-1.1326500000000246,-2.5556,-1.0816187500000016
0.53,1.4843750000000007,0.7674199999999974,1.46615,0.72975,-2.6397000000000004,-1.1199299999999985,-2.5556,-1.090525
0.535,1.481999999999998,0.7337749999999786,1.466017857142857,0.7368499999999929,-2.638149999999998,-1.094624999999985,-2.5556,-1.0058642857142994
0.54,1.4793999999999998,0.7151062500000023,1.4658,0.6988499999999634,-2.636415,-1.0888375000000008,-2.5556,-1.0431249999999999
0.545,1.4769285714285725,0.71565,1.4655535714285715,0.6856107142857193,-2.6347928571428576,-1.068775,-2.5556,-1.0363535714285763
0.55,1.4743750000000002,0.6804437500000506,1.465175,0.6802999999999106,-2.6331,-1.0482874999999905,-2.5556,-1.0431249999999999
0.555,1.4718999999999993,0.6892349999999803,1.4647464285714284,0.6617250000000069,-2.6314699999999993,-1.043899999999995,-2.5556,-0.9872428571428937
0.56,1.4693750000000023,0.6842399999999931,1.46425,0.6432,-2.6298000000000012,-1.0212950000000005,-2.555575,-0.983875
0.5650000000000001,1.4668750000000008,0.6483999999999817,1.4637833333333328,0.6349416666668832,-2.6281500000000007,-1.005199999999991,-2.5556,-0.9719999999997238
0.5700000000000001,1.4643958333333336,0.6602,1.463,0.5999,-2.6265125,-0.994925,-2.555575,-0.9009
0.5750000000000001,1.4619138888888883,0.6461749999999999,1.4621999999999997,0.6209250000000031,-2.6248783333333328,-0.9666,-2.55555,-0.9483250000000368
0.58,1.4594375000000004,0.6238,1.461349999999999,0.6307999999998868,-2.6232375,-0.953025,-2.5555000000000003,-0.9009
